nomphoto,oiv,s,sq,n,fn,tn,ligne,colonne,exp,sheet
Exp18DM05-Inoc1-P64,5.0,1.0,5.0,0.0,,,a,1.0,Exp18DM05_saisiebis,Exp18DM05_saisie_t4
Exp18DM05-Inoc1-P64,5.0,1.0,5.0,0.0,,,b,1.0,Exp18DM05_saisiebis,Exp18DM05_saisie_t4
Exp18DM05-Inoc1-P64,3.0,1.0,5.0,0.0,,,c,1.0,Exp18DM05_saisiebis,Exp18DM05_saisie_t4
Exp18DM05-Inoc1-P64,3.0,1.0,5.0,0.0,,,a,2.0,Exp18DM05_saisiebis,Exp18DM05_saisie_t4
Exp18DM05-Inoc1-P64,1.0,1.0,3.0,0.0,,,b,2.0,Exp18DM05_saisiebis,Exp18DM05_saisie_t4
Exp18DM05-Inoc1-P64,3.0,1.0,3.0,0.0,,,c,2.0,Exp18DM05_saisiebis,Exp18DM05_saisie_t4
Exp18DM05-Inoc1-P64,3.0,1.0,3.0,0.0,,,a,3.0,Exp18DM05_saisiebis,Exp18DM05_saisie_t4
Exp18DM05-Inoc1-P64,3.0,1.0,3.0,0.0,,,b,3.0,Exp18DM05_saisiebis,Exp18DM05_saisie_t4
Exp18DM05-Inoc1-P64,3.0,1.0,3.0,0.0,,,c,3.0,Exp18DM05_saisiebis,Exp18DM05_saisie_t4
Exp18DM05-Inoc1-P64,3.0,1.0,3.0,0.0,,,a,4.0,Exp18DM05_saisiebis,Exp18DM05_saisie_t4
Exp18DM05-Inoc1-P64,3.0,1.0,3.0,0.0,,,b,4.0,Exp18DM05_saisiebis,Exp18DM05_saisie_t4
Exp18DM05-Inoc1-P64,7.0,1.0,7.0,1.0,9.0,7.0,c,4.0,Exp18DM05_saisiebis,Exp18DM05_saisie_t4
Exp18DM05-Inoc1-P65,5.0,1.0,3.0,0.0,,,a,1.0,Exp18DM05_saisiebis,Exp18DM05_saisie_t4
Exp18DM05-Inoc1-P65,5.0,1.0,3.0,0.0,,,b,1.0,Exp18DM05_saisiebis,Exp18DM05_saisie_t4
Exp18DM05-Inoc1-P65,3.0,1.0,3.0,0.0,,,c,1.0,Exp18DM05_saisiebis,Exp18DM05_saisie_t4
Exp18DM05-Inoc1-P65,7.0,1.0,7.0,1.0,5.0,7.0,a,2.0,Exp18DM05_saisiebis,Exp18DM05_saisie_t4
Exp18DM05-Inoc1-P65,3.0,1.0,3.0,0.0,,,b,2.0,Exp18DM05_saisiebis,Exp18DM05_saisie_t4
Exp18DM05-Inoc1-P65,3.0,1.0,3.0,0.0,,,c,2.0,Exp18DM05_saisiebis,Exp18DM05_saisie_t4
Exp18DM05-Inoc1-P65,3.0,1.0,3.0,0.0,,,a,3.0,Exp18DM05_saisiebis,Exp18DM05_saisie_t4
Exp18DM05-Inoc1-P65,3.0,1.0,3.0,0.0,,,b,3.0,Exp18DM05_saisiebis,Exp18DM05_saisie_t4
Exp18DM05-Inoc1-P65,5.0,1.0,3.0,0.0,,,c,3.0,Exp18DM05_saisiebis,Exp18DM05_saisie_t4
Exp18DM05-Inoc1-P65,5.0,1.0,5.0,0.0,,,a,4.0,Exp18DM05_saisiebis,Exp18DM05_saisie_t4
Exp18DM05-Inoc1-P65,3.0,1.0,5.0,0.0,,,b,4.0,Exp18DM05_saisiebis,Exp18DM05_saisie_t4
Exp18DM05-Inoc1-P65,5.0,1.0,3.0,0.0,,,c,4.0,Exp18DM05_saisiebis,Exp18DM05_saisie_t4
Exp18DM05-Inoc1-P66,7.0,1.0,9.0,1.0,7.0,5.0,a,1.0,Exp18DM05_saisiebis,Exp18DM05_saisie_t4
Exp18DM05-Inoc1-P66,3.0,1.0,3.0,0.0,,,b,1.0,Exp18DM05_saisiebis,Exp18DM05_saisie_t4
Exp18DM05-Inoc1-P66,9.0,0.0,,1.0,9.0,5.0,c,1.0,Exp18DM05_saisiebis,Exp18DM05_saisie_t4
Exp18DM05-Inoc1-P37,3.0,1.0,3.0,0.0,,,a,1.0,Exp18DM05_saisiebis,Exp18DM05_saisie_t4
Exp18DM05-Inoc1-P37,3.0,1.0,3.0,0.0,,,b,1.0,Exp18DM05_saisiebis,Exp18DM05_saisie_t4
Exp18DM05-Inoc1-P37,3.0,1.0,3.0,0.0,,,c,1.0,Exp18DM05_saisiebis,Exp18DM05_saisie_t4
